,class,precision,recall,f1-score,accuracy
0,A,0.9291045,0.9222222,0.92565054,0.9954023
1,B,0.97037035,0.91608393,0.942446,0.99632186
2,C,0.9967213,0.974359,0.98541325,0.9989655
3,D,0.9504373,0.9702381,0.96023566,0.99689656
4,E,0.90181816,0.8641115,0.8825622,0.9924138
5,F,0.9728097,0.9877301,0.98021305,0.9985058
6,G,0.9236111,0.9602888,0.94159293,0.9962069
7,H,0.977707,0.971519,0.9746032,0.9981609
8,I,0.87628865,0.9550562,0.91397846,0.99448276
9,J,0.96989965,0.96989965,0.96989965,0.99793106
10,K,0.9194631,0.91333336,0.916388,0.99425286
11,L,0.94385964,0.95729536,0.95053005,0.9967816
12,M,0.8434066,0.96238244,0.89897513,0.99206895
13,N,0.9453925,0.89067525,0.91721857,0.99425286
14,O,0.9342561,0.94736844,0.94076663,0.99609196
15,P,0.9833887,0.9704918,0.9768977,0.9983908
16,Q,0.98344374,0.9769737,0.980198,0.9986207
17,R,0.9302326,0.78175896,0.8495576,0.9902299
18,S,0.93772894,0.83116883,0.88123924,0.99206895
19,T,0.9202454,0.93457943,0.9273571,0.9945977
20,U,0.82371795,0.8624161,0.8426229,0.9889655
21,V,0.7933131,0.8613861,0.8259494,0.9873563
22,W,0.8905775,0.933121,0.91135305,0.99344826
23,X,0.880597,0.948553,0.9133127,0.99356323
24,Y,0.9581882,0.90460527,0.9306261,0.99528736
25,Z,0.99264705,0.92783505,0.95914733,0.9973563
26,space,0.9691781,0.9895105,0.97923875,0.9986207
27,del,0.9929578,0.9757785,0.9842932,0.9989655
28,nothing,1.0,1.0,1.0,1.0
