,precision,recall,f1-score,accuracy
0,0.69189906,0.8785835,5.1669865,0.98252875
1,0.96889955,0.72450805,4.8246913,0.9904023
2,0.85552406,0.9633174,4.4139075,0.9928161
3,0.863924,0.8849271,4.5750914,0.990977
4,0.7993139,0.82477874,4.9270387,0.9875862
5,0.954792,0.8341232,4.492424,0.99252874
6,0.858075,0.8665568,4.6387835,0.9903448
7,0.90756303,0.88235295,4.470371,0.9927012
8,0.65389085,0.9640411,5.133215,0.9816667
9,0.89966553,0.85532594,4.5613384,0.99132186
10,0.7839771,0.85758996,4.8832116,0.986092
11,0.8011696,0.9335605,4.638686,0.98994255
12,0.8678862,0.72250426,5.0725994,0.98683906
13,0.84885764,0.7944079,4.873706,0.98787355
14,0.715505,0.8568995,5.1292243,0.98367816
15,0.83613443,0.9598071,4.475712,0.99183905
16,0.81895334,0.9507389,4.5457683,0.99091953
17,0.66721046,0.6782753,5.94621,0.9771264
18,0.86633664,0.5813953,5.7485714,0.98241377
19,0.7876448,0.6743802,5.504902,0.9823563
20,0.55184746,0.7703827,6.220302,0.97045976
21,0.75688076,0.5574324,6.2303033,0.9788506
22,0.957958,0.5528596,5.7053285,0.9843678
23,0.8329718,0.6295082,5.5781255,0.9825862
24,0.8508065,0.73391306,5.0758295,0.98695403
25,0.8492647,0.7804054,4.917749,0.9878161
26,0.9554974,0.6358885,5.2383556,0.9870115
27,0.6203501,0.93564355,5.3615522,0.9778161
28,0.99655175,0.97306395,4.062284,0.9989655
Means,0.821356919,0.801971416,5.048698893,0.986440745
