1182,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,4,0,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
0,0,0,0,4,627,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,1202,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0
0,0,0,0,0,0,40,1178,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
0,6,0,0,42,0,0,0,1094,0,0,0,0,0,0,0,0,0,0,0,6,8,6,4,2,0,0,0,0
0,0,0,0,0,0,1,0,0,617,0,0,1,6,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,21,31,1,13,0,0,0,0,0
2,0,2,0,0,0,0,0,0,0,0,1168,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
30,2,0,0,2,0,0,0,0,0,0,0,1132,4,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0,0,0,0,0,2,1093,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,14,0,0,0,0,0,0,0,4,0,2,4,0
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,606,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,4,0,11,20,0,1,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1182,0,0,0,0,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,599,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,681,1,0,2,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,554,16,2,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,560,2,0,0,0,0,0
2,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,1202,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1146,0,0,0,0
4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,570,0,0
0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1200,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188
